ID_A,ID_B,Similarity,Differing_Columns,Content_A,Content_B
8,17,1.0,None,Entre 31 e 40 anos Masculino Sudeste SP São Paulo Ateismo ou agnosticismo Não  Unifesp Unifesp Unife...,Entre 31 e 40 anos Masculino Sudeste SP São Paulo Ateismo ou agnosticismo Não  Unifesp Unifesp Unife...
61,118,1.0,None,Entre 41 e 50 anos Masculino Nordeste BA Salvador Espiritismo Não  CEUA ICS-UFBA Universidade Federa...,Entre 41 e 50 anos Masculino Nordeste BA Salvador Espiritismo Não  CEUA ICS-UFBA Universidade Federa...
68,365,1.0,Estado,Entre 31 e 40 anos Feminino Nordeste PB Sousa Cristã protestante Não  Ceua IFPB IFPB Medicina veteri...,Entre 31 e 40 anos Feminino Nordeste Pb Sousa Cristã protestante Não  Ceua IFPB IFPB Medicina veteri...
75,85,1.0,None,Entre 41 e 50 anos Masculino Nordeste RN Mossoró Espiritismo Não  Ceua Ufersa Ufersa Proppg Institui...,Entre 41 e 50 anos Masculino Nordeste RN Mossoró Espiritismo Não  Ceua Ufersa Ufersa Proppg Institui...
75,87,1.0,None,Entre 41 e 50 anos Masculino Nordeste RN Mossoró Espiritismo Não  Ceua Ufersa Ufersa Proppg Institui...,Entre 41 e 50 anos Masculino Nordeste RN Mossoró Espiritismo Não  Ceua Ufersa Ufersa Proppg Institui...
79,80,1.0,None,Entre 41 e 50 anos Feminino Sudeste SP Santo André Catolicismo Sim Adote um Gatinho ( voluntaria) CE...,Entre 41 e 50 anos Feminino Sudeste SP Santo André Catolicismo Sim Adote um Gatinho ( voluntaria) CE...
85,87,1.0,None,Entre 41 e 50 anos Masculino Nordeste RN Mossoró Espiritismo Não  Ceua Ufersa Ufersa Proppg Institui...,Entre 41 e 50 anos Masculino Nordeste RN Mossoró Espiritismo Não  Ceua Ufersa Ufersa Proppg Institui...
95,159,1.0,None,Entre 31 e 40 anos Feminino Sul SC Concórdia Sem religião Não  CEUA IFC IFC concordia Escola de Vete...,Entre 31 e 40 anos Feminino Sul SC Concórdia Sem religião Não  CEUA IFC IFC concordia Escola de Vete...
114,115,1.0,None,Entre 31 e 40 anos Feminino Sul PR Realeza Evangélica Sim Associação Melhores Amigos dos Animais - P...,Entre 31 e 40 anos Feminino Sul PR Realeza Evangélica Sim Associação Melhores Amigos dos Animais - P...
136,302,1.0,None,Entre 21 e 30 anos Masculino Norte AM Manaus Catolicismo Não  CEUA-UFAM UFAM Fazenda Experimental In...,Entre 21 e 30 anos Masculino Norte AM Manaus Catolicismo Não  CEUA-UFAM UFAM Fazenda Experimental In...
162,354,1.0,None,Entre 41 e 50 anos Feminino Nordeste PB Patos Catolicismo Não  CEUA/CSTR UFCG Centro de Saúde e Tecn...,Entre 41 e 50 anos Feminino Nordeste PB Patos Catolicismo Não  CEUA/CSTR UFCG Centro de Saúde e Tecn...
342,343,1.0,None,Entre 51 e 60 anos Feminino Sudeste SP Jaboticabal Catolicismo Não  CEPAN Centro Universitário Barão...,Entre 51 e 60 anos Feminino Sudeste SP Jaboticabal Catolicismo Não  CEPAN Centro Universitário Barão...
